"Num","Path","Name","Length","Modified","sha-256","Format","parseproblem"
"1","backu%202005%20part%202/SAGSET%20Files/","Manchester Conference.doc","82944","Sun Jul 17 17:45:24 BST 2005","564c4a1dfabb512db38b4944894f4e4fe45d1d7ec78f1e5d4a00adf3fd5f1511","application/msword","false"
"2","backu%202005%20part%202/SAGSET%20Files/","SAGSET requirements.doc","36864","Sun Aug 07 04:57:40 BST 2005","79a0798c102189e9eb3f871a24eda4f4486bda62b75a6f740a9daaee9a1c5c60","application/msword","false"
"3","backu%202005%20part%202/SAGSET%20Files/","Tenders.doc","50176","Mon Aug 08 17:13:50 BST 2005","97a433277c9e4f7ea3a81c896f09ae60077b5decef44b014a2e96581d88bb6d0","application/msword","false"
"4","backu%202005%20part%202/","A WW1 'What If' Book.doc","82432","Fri Aug 05 08:38:06 BST 2005","6967035e8716f55594d3a11df1dd4062c525a6f339787e74826eb76484eb1737","application/msword","false"
"5","backu%202005%20part%202/","Brit Turns - 3.doc","224256","Sun Jul 10 08:45:32 BST 2005","7a97284eac779a8339127726595b1fd393b34a97935bf9d87d1993f155794db2","application/msword","false"
"6","backu%202005%20part%202/","FB Accounts 2004-5.doc","60416","Sat Aug 13 21:25:38 BST 2005","122d2b29b324d8cf66168e7628fce75f2f067aaac04ef7cbc6c0f90fc7f871a2","application/msword","true"
"7","backu%202005%20part%202/","JPH's Step by Step 2.doc","118784","Mon Aug 01 20:13:22 BST 2005","7d21118cb694604b1cdfc47bb12dbbbfcd25e6674a10e7e0250ae0253d97c871","application/msword","false"
"8","backu%202005%20part%202/","Kurdi-turns - 3.doc","185344","Mon Jul 18 10:19:44 BST 2005","e63cdbd202dc6b0e531bc0bdb608d627fc6fd8ba19cec234f306458d6d628248","application/msword","true"
"9","backu%202005%20part%202/","Orkneyinga Viking game.doc","95744","Wed Aug 10 07:48:44 BST 2005","072551f6040cf14a90acb0059cfbff2514c2a5cf1e4dbc8ce765b85b587f14ac","application/msword","false"
"10","backu%202005%20part%202/","Osprey FSBs.doc","132608","Mon Jul 18 19:00:38 BST 2005","215073e312c93cfc151fb5130f281db15f936ad5f882e3455e679e94e838b451","application/msword","false"
"11","backu%202005%20part%202/","PG & GG Accounts '04-5.doc","98816","Mon Aug 15 12:00:24 BST 2005","1f0c1e6b6601365ec15a368bac7df479d657024f46f5a5eb369da12c6daf81c5","application/msword","false"
"12","backu%202005%20part%202/","Tenders.doc","103424","Wed Aug 17 10:56:32 BST 2005","f19d92ae8b4020143e29bd650da7789bc0b18b29ae5b42eb9c1dbf2b57f45b37","application/msword","true"
"13","backup%201996-2001/Other%20Napoleonic/","Adkin's Balaklava.doc","17408","Mon Sep 25 11:13:22 BST 2000","a04c2f663c1a81b0227deb6d53cccf5a2cc8ae42ad7da853b542e474b3048dd4","application/msword","false"
"14","backup%201996-2001/Other%20Napoleonic/","COLJOHN.DOC","36864","Mon Feb 15 11:06:14 GMT 1999","e8fde512064920dc8cb41ff93870bc8477885f5403263399bd02ac2710a9d9ef","application/msword","false"
"15","backup%201996-2001/Other%20Napoleonic/","Houlding.doc","29184","Fri Sep 01 09:21:22 BST 2000","ba600e029b7382ace98dc61477d7e0ac11b84ee55841bad77a92df6596538454","application/msword","false"
"16","backup%201996-2001/Other%20Napoleonic/","LIEBERWO.DOC","40448","Sun Mar 22 15:38:56 GMT 1998","93ebcd98c66aa07bfc4fe341778e99760edc99be006f87b0cf3e05283a6d767a","application/msword","false"
"17","backup%201996-2001/Other%20Napoleonic/","LIN3.DOC","20480","Fri Nov 13 10:25:24 GMT 1998","9e3a72d256f633f8adf9ef18adbc81e88ee1122265f78a8f14535ba34d655514","application/msword","true"
